interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;636.00;18.09;downstream_0;5.00;53;53;4.88;18.19
0.00;300.00;732.00;18.40;downstream_1;5.00;61;61;5.53;18.48
0.00;300.00;864.00;19.48;downstream_2;5.00;72;73;6.21;19.53
0.00;300.00;936.00;20.32;downstream_3;5.00;78;78;6.40;20.38
0.00;300.00;588.00;17.93;upstream_0;5.00;49;49;4.55;18.15
0.00;300.00;936.00;18.57;upstream_1;5.00;78;80;7.05;18.66
0.00;300.00;972.00;18.92;upstream_2;5.00;81;82;7.21;19.04
0.00;300.00;948.00;20.39;upstream_3;5.00;79;79;6.46;20.50
0.00;300.00;288.00;17.05;weaving_downstream_0;5.00;24;24;2.35;17.08
0.00;300.00;744.00;13.91;weaving_downstream_1;5.00;62;64;7.53;15.12
0.00;300.00;816.00;15.40;weaving_downstream_2;5.00;68;68;7.36;16.22
0.00;300.00;912.00;18.82;weaving_downstream_3;5.00;76;76;6.73;18.95
0.00;300.00;972.00;20.09;weaving_downstream_4;5.00;81;81;6.72;20.17
0.00;300.00;84.00;7.93;weaving_midway_0;5.00;7;7;1.47;11.60
0.00;300.00;1176.00;13.56;weaving_midway_1;5.00;98;98;12.04;14.39
0.00;300.00;780.00;14.71;weaving_midway_2;5.00;65;67;7.50;15.38
0.00;300.00;912.00;18.79;weaving_midway_3;5.00;76;76;6.74;18.90
0.00;300.00;960.00;20.35;weaving_midway_4;5.00;80;80;6.55;20.41
0.00;300.00;456.00;13.17;weaving_upstream_0;5.00;38;42;5.17;13.64
0.00;300.00;924.00;14.61;weaving_upstream_1;5.00;77;77;8.79;15.23
0.00;300.00;972.00;17.22;weaving_upstream_2;5.00;81;82;7.86;17.40
0.00;300.00;780.00;19.05;weaving_upstream_3;5.00;65;65;5.69;19.16
0.00;300.00;984.00;20.52;weaving_upstream_4;5.00;82;82;6.66;20.60
300.00;600.00;1140.00;16.97;downstream_0;5.00;95;95;9.33;17.06
300.00;600.00;1248.00;17.98;downstream_1;5.00;104;104;9.64;18.03
300.00;600.00;1296.00;18.84;downstream_2;5.00;108;107;9.50;18.87
300.00;600.00;1404.00;19.94;downstream_3;5.00;117;117;9.78;19.99
300.00;600.00;792.00;18.05;upstream_0;5.00;66;67;6.15;18.11
300.00;600.00;888.00;18.82;upstream_1;5.00;74;75;6.60;18.88
300.00;600.00;1188.00;19.03;upstream_2;5.00;99;99;8.67;19.13
300.00;600.00;1080.00;20.69;upstream_3;5.00;90;90;7.25;20.75
300.00;600.00;408.00;16.42;weaving_downstream_0;5.00;34;34;3.45;16.48
300.00;600.00;1368.00;16.18;weaving_downstream_1;5.00;114;117;11.95;16.30
300.00;600.00;1164.00;17.45;weaving_downstream_2;5.00;97;97;9.27;17.55
300.00;600.00;1248.00;18.38;weaving_downstream_3;5.00;104;105;9.47;18.46
300.00;600.00;1344.00;19.98;weaving_downstream_4;5.00;112;112;9.34;20.08
300.00;600.00;180.00;12.48;weaving_midway_0;5.00;15;17;2.17;13.39
300.00;600.00;1668.00;12.28;weaving_midway_1;5.00;139;141;19.03;12.99
300.00;600.00;1128.00;15.18;weaving_midway_2;5.00;94;94;10.35;15.63
300.00;600.00;1200.00;18.17;weaving_midway_3;5.00;100;102;9.26;18.32
300.00;600.00;1308.00;19.94;weaving_midway_4;5.00;109;109;9.11;20.10
300.00;600.00;816.00;12.60;weaving_upstream_0;5.00;68;69;9.03;12.94
300.00;600.00;1116.00;13.64;weaving_upstream_1;5.00;93;98;11.54;13.98
300.00;600.00;1224.00;16.01;weaving_upstream_2;5.00;102;102;10.62;16.47
300.00;600.00;1092.00;18.41;weaving_upstream_3;5.00;91;92;8.32;18.61
300.00;600.00;1212.00;20.49;weaving_upstream_4;5.00;101;101;8.22;20.57
600.00;900.00;1104.00;16.95;downstream_0;5.00;92;92;9.05;17.02
600.00;900.00;1176.00;17.38;downstream_1;5.00;98;98;9.40;17.44
600.00;900.00;1272.00;18.84;downstream_2;5.00;106;106;9.38;18.88
600.00;900.00;1332.00;20.35;downstream_3;5.00;111;111;9.09;20.40
600.00;900.00;720.00;17.36;upstream_0;5.00;60;59;5.70;17.46
600.00;900.00;960.00;18.28;upstream_1;5.00;80;82;7.36;18.33
600.00;900.00;1128.00;18.59;upstream_2;5.00;94;94;8.43;18.73
600.00;900.00;1188.00;20.34;upstream_3;5.00;99;99;8.11;20.40
600.00;900.00;396.00;16.55;weaving_downstream_0;5.00;33;33;3.32;16.57
600.00;900.00;1260.00;15.40;weaving_downstream_1;5.00;105;106;11.39;15.78
600.00;900.00;1164.00;15.85;weaving_downstream_2;5.00;97;97;10.20;16.22
600.00;900.00;1296.00;18.70;weaving_downstream_3;5.00;108;108;9.63;18.76
600.00;900.00;1212.00;20.42;weaving_downstream_4;5.00;101;101;8.24;20.47
600.00;900.00;132.00;14.57;weaving_midway_0;5.00;11;12;1.40;14.82
600.00;900.00;1620.00;12.04;weaving_midway_1;5.00;135;135;18.69;12.47
600.00;900.00;1188.00;13.27;weaving_midway_2;5.00;99;100;12.47;14.01
600.00;900.00;1200.00;18.38;weaving_midway_3;5.00;100;100;9.07;18.61
600.00;900.00;1236.00;20.50;weaving_midway_4;5.00;103;103;8.38;20.54
600.00;900.00;804.00;11.26;weaving_upstream_0;5.00;67;68;9.93;11.69
600.00;900.00;1176.00;12.30;weaving_upstream_1;5.00;98;98;13.28;13.00
600.00;900.00;1236.00;16.36;weaving_upstream_2;5.00;103;104;10.53;16.64
600.00;900.00;984.00;18.62;weaving_upstream_3;5.00;82;84;7.45;18.74
600.00;900.00;1224.00;20.41;weaving_upstream_4;5.00;102;102;8.33;20.48
900.00;1200.00;972.00;17.12;downstream_0;5.00;81;82;7.97;17.17
900.00;1200.00;1356.00;17.68;downstream_1;5.00;113;114;10.66;17.72
900.00;1200.00;1308.00;18.27;downstream_2;5.00;109;109;9.94;18.34
900.00;1200.00;1344.00;19.81;downstream_3;5.00;112;112;9.42;19.83
900.00;1200.00;744.00;17.71;upstream_0;5.00;62;62;5.84;17.75
900.00;1200.00;1044.00;18.46;upstream_1;5.00;87;87;7.85;18.52
900.00;1200.00;1188.00;18.89;upstream_2;5.00;99;99;8.74;18.98
900.00;1200.00;996.00;20.46;upstream_3;5.00;83;83;6.76;20.57
900.00;1200.00;396.00;16.22;weaving_downstream_0;5.00;33;33;3.39;16.31
900.00;1200.00;1248.00;15.25;weaving_downstream_1;5.00;104;104;11.36;15.59
900.00;1200.00;1224.00;16.50;weaving_downstream_2;5.00;102;103;10.32;16.75
900.00;1200.00;1248.00;17.90;weaving_downstream_3;5.00;104;104;9.69;18.12
900.00;1200.00;1296.00;19.99;weaving_downstream_4;5.00;108;108;9.00;20.03
900.00;1200.00;132.00;13.33;weaving_midway_0;5.00;11;11;1.38;14.02
900.00;1200.00;1548.00;11.88;weaving_midway_1;5.00;129;131;18.20;12.28
900.00;1200.00;1284.00;12.60;weaving_midway_2;5.00;107;108;14.27;13.21
900.00;1200.00;1212.00;17.78;weaving_midway_3;5.00;101;101;9.47;17.94
900.00;1200.00;1236.00;20.17;weaving_midway_4;5.00;103;103;8.51;20.22
900.00;1200.00;888.00;11.88;weaving_upstream_0;5.00;74;77;10.63;12.18
900.00;1200.00;1116.00;12.38;weaving_upstream_1;5.00;93;94;12.68;12.65
900.00;1200.00;1188.00;16.31;weaving_upstream_2;5.00;99;100;10.13;16.60
900.00;1200.00;1116.00;18.17;weaving_upstream_3;5.00;93;93;8.53;18.34
900.00;1200.00;1104.00;20.30;weaving_upstream_4;5.00;92;92;7.55;20.38
1200.00;1500.00;1092.00;17.27;downstream_0;5.00;91;90;8.70;17.33
1200.00;1500.00;1320.00;17.76;downstream_1;5.00;110;109;10.32;17.85
1200.00;1500.00;1296.00;18.99;downstream_2;5.00;108;108;9.48;19.08
1200.00;1500.00;1344.00;20.27;downstream_3;5.00;112;112;9.21;20.32
1200.00;1500.00;684.00;17.73;upstream_0;5.00;57;57;5.36;17.78
1200.00;1500.00;1020.00;17.87;upstream_1;5.00;85;85;7.93;17.93
1200.00;1500.00;1176.00;18.43;upstream_2;5.00;98;99;8.93;18.56
1200.00;1500.00;1080.00;20.12;upstream_3;5.00;90;90;7.46;20.26
1200.00;1500.00;408.00;16.65;weaving_downstream_0;5.00;34;34;3.40;16.69
1200.00;1500.00;1308.00;16.51;weaving_downstream_1;5.00;109;110;11.04;16.61
1200.00;1500.00;1212.00;17.18;weaving_downstream_2;5.00;101;101;9.80;17.29
1200.00;1500.00;1236.00;18.80;weaving_downstream_3;5.00;103;103;9.13;18.89
1200.00;1500.00;1272.00;20.22;weaving_downstream_4;5.00;106;106;8.74;20.28
1200.00;1500.00;204.00;12.42;weaving_midway_0;5.00;17;18;2.32;13.94
1200.00;1500.00;1608.00;13.80;weaving_midway_1;5.00;134;139;16.33;14.11
1200.00;1500.00;1164.00;15.21;weaving_midway_2;5.00;97;98;10.65;15.76
1200.00;1500.00;1152.00;18.68;weaving_midway_3;5.00;96;96;8.57;18.78
1200.00;1500.00;1248.00;20.29;weaving_midway_4;5.00;104;104;8.54;20.36
1200.00;1500.00;732.00;12.28;weaving_upstream_0;5.00;61;64;8.52;12.79
1200.00;1500.00;1236.00;13.60;weaving_upstream_1;5.00;103;103;12.62;14.09
1200.00;1500.00;1272.00;16.57;weaving_upstream_2;5.00;106;107;10.70;16.72
