interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,300.00,564.00,18.51,downstream_0,5.00,47,47,4.23,18.58
0.00,300.00,804.00,18.62,downstream_1,5.00,67,68,6.06,18.69
0.00,300.00,888.00,19.15,downstream_2,5.00,74,74,6.44,19.21
0.00,300.00,888.00,20.64,downstream_3,5.00,74,74,5.98,20.68
0.00,300.00,528.00,18.36,upstream_0,5.00,44,44,3.99,18.42
0.00,300.00,984.00,18.76,upstream_1,5.00,82,82,7.29,18.82
0.00,300.00,972.00,19.09,upstream_2,5.00,81,81,7.07,19.21
0.00,300.00,960.00,20.47,upstream_3,5.00,80,81,6.56,20.56
0.00,300.00,312.00,14.57,weaving_downstream_0,5.00,26,26,2.97,14.60
0.00,300.00,660.00,17.79,weaving_downstream_1,5.00,55,56,5.23,17.88
0.00,300.00,780.00,18.00,weaving_downstream_2,5.00,65,66,6.08,18.04
0.00,300.00,984.00,18.77,weaving_downstream_3,5.00,82,82,7.28,18.86
0.00,300.00,912.00,20.36,weaving_downstream_4,5.00,76,76,6.22,20.41
0.00,300.00,60.00,8.91,weaving_midway_0,5.00,5,7,0.96,9.64
0.00,300.00,1044.00,11.63,weaving_midway_1,5.00,87,88,12.63,12.66
0.00,300.00,840.00,12.71,weaving_midway_2,5.00,70,71,9.30,13.60
0.00,300.00,948.00,17.90,weaving_midway_3,5.00,79,80,7.36,18.28
0.00,300.00,984.00,20.06,weaving_midway_4,5.00,82,82,6.81,20.24
0.00,300.00,516.00,12.49,weaving_upstream_0,5.00,43,43,5.74,13.11
0.00,300.00,840.00,14.37,weaving_upstream_1,5.00,70,70,8.12,14.95
0.00,300.00,924.00,17.32,weaving_upstream_2,5.00,77,79,7.48,17.49
0.00,300.00,876.00,18.40,weaving_upstream_3,5.00,73,73,6.61,18.59
0.00,300.00,960.00,20.49,weaving_upstream_4,5.00,80,80,6.51,20.56
300.00,600.00,1080.00,17.27,downstream_0,5.00,90,90,8.69,17.35
300.00,600.00,1224.00,17.95,downstream_1,5.00,102,101,9.41,18.01
300.00,600.00,1392.00,18.32,downstream_2,5.00,116,116,10.55,18.40
300.00,600.00,1356.00,20.11,downstream_3,5.00,113,113,9.37,20.15
300.00,600.00,756.00,17.92,upstream_0,5.00,63,63,5.86,17.97
300.00,600.00,960.00,18.53,upstream_1,5.00,80,81,7.27,18.58
300.00,600.00,1128.00,18.89,upstream_2,5.00,94,94,8.29,18.97
300.00,600.00,1104.00,20.31,upstream_3,5.00,92,94,7.66,20.39
300.00,600.00,444.00,14.35,weaving_downstream_0,5.00,37,38,4.31,14.40
300.00,600.00,1284.00,16.54,weaving_downstream_1,5.00,107,107,10.78,16.71
300.00,600.00,1116.00,17.42,weaving_downstream_2,5.00,93,94,8.91,17.47
300.00,600.00,1356.00,18.09,weaving_downstream_3,5.00,113,113,10.41,18.25
300.00,600.00,1320.00,20.06,weaving_downstream_4,5.00,110,110,9.14,20.12
300.00,600.00,192.00,8.57,weaving_midway_0,5.00,16,16,3.28,10.53
300.00,600.00,1560.00,11.75,weaving_midway_1,5.00,130,131,18.44,12.35
300.00,600.00,1248.00,13.16,weaving_midway_2,5.00,104,104,13.14,13.73
300.00,600.00,1248.00,17.80,weaving_midway_3,5.00,104,104,9.74,18.02
300.00,600.00,1260.00,20.14,weaving_midway_4,5.00,105,105,8.69,20.21
300.00,600.00,924.00,12.61,weaving_upstream_0,5.00,77,77,10.18,12.93
300.00,600.00,1128.00,13.24,weaving_upstream_1,5.00,94,95,11.84,13.64
300.00,600.00,1116.00,15.90,weaving_upstream_2,5.00,93,93,9.75,16.42
300.00,600.00,1104.00,18.09,weaving_upstream_3,5.00,92,95,8.53,18.30
300.00,600.00,1200.00,19.98,weaving_upstream_4,5.00,100,100,8.34,20.21
600.00,900.00,1092.00,17.51,downstream_0,5.00,91,91,8.66,17.56
600.00,900.00,1236.00,17.84,downstream_1,5.00,103,103,9.62,17.89
600.00,900.00,1284.00,18.82,downstream_2,5.00,107,107,9.48,18.87
600.00,900.00,1320.00,20.47,downstream_3,5.00,110,110,8.95,20.52
600.00,900.00,744.00,17.22,upstream_0,5.00,62,62,6.00,17.25
600.00,900.00,924.00,18.23,upstream_1,5.00,77,78,7.13,18.28
600.00,900.00,1128.00,18.75,upstream_2,5.00,94,94,8.36,18.82
600.00,900.00,1188.00,20.15,upstream_3,5.00,99,98,8.14,20.23
600.00,900.00,396.00,14.16,weaving_downstream_0,5.00,33,33,3.88,14.21
600.00,900.00,1212.00,15.79,weaving_downstream_1,5.00,101,103,10.77,16.34
600.00,900.00,1140.00,16.98,weaving_downstream_2,5.00,95,95,9.32,17.27
600.00,900.00,1248.00,18.53,weaving_downstream_3,5.00,104,104,9.35,18.63
600.00,900.00,1284.00,20.48,weaving_downstream_4,5.00,107,107,8.71,20.54
600.00,900.00,120.00,11.50,weaving_midway_0,5.00,10,10,1.45,12.17
600.00,900.00,1572.00,11.05,weaving_midway_1,5.00,131,131,19.76,11.69
600.00,900.00,1224.00,12.02,weaving_midway_2,5.00,102,103,14.17,12.58
600.00,900.00,1188.00,17.94,weaving_midway_3,5.00,99,100,9.27,18.18
600.00,900.00,1224.00,20.49,weaving_midway_4,5.00,102,102,8.30,20.54
600.00,900.00,972.00,11.39,weaving_upstream_0,5.00,81,82,11.91,11.73
600.00,900.00,1116.00,11.91,weaving_upstream_1,5.00,93,93,13.02,12.26
600.00,900.00,1032.00,15.62,weaving_upstream_2,5.00,86,86,9.18,16.15
600.00,900.00,1056.00,18.03,weaving_upstream_3,5.00,88,90,8.16,18.30
600.00,900.00,1212.00,20.47,weaving_upstream_4,5.00,101,101,8.22,20.51
900.00,1200.00,1164.00,17.31,downstream_0,5.00,97,97,9.34,17.37
900.00,1200.00,1152.00,17.63,downstream_1,5.00,96,96,9.07,17.69
900.00,1200.00,1296.00,18.45,downstream_2,5.00,108,108,9.76,18.48
900.00,1200.00,1368.00,19.75,downstream_3,5.00,114,114,9.62,19.78
900.00,1200.00,732.00,17.70,upstream_0,5.00,61,61,5.74,17.74
900.00,1200.00,1068.00,18.39,upstream_1,5.00,89,88,7.98,18.45
900.00,1200.00,1140.00,18.83,upstream_2,5.00,95,95,8.41,18.91
900.00,1200.00,1032.00,20.32,upstream_3,5.00,86,86,7.05,20.44
900.00,1200.00,420.00,14.05,weaving_downstream_0,5.00,35,35,4.15,14.09
900.00,1200.00,1308.00,16.64,weaving_downstream_1,5.00,109,110,10.93,16.71
900.00,1200.00,1092.00,16.88,weaving_downstream_2,5.00,91,91,8.99,16.99
900.00,1200.00,1308.00,17.96,weaving_downstream_3,5.00,109,109,10.11,18.04
900.00,1200.00,1308.00,19.69,weaving_downstream_4,5.00,109,109,9.23,19.73
900.00,1200.00,276.00,8.65,weaving_midway_0,5.00,23,26,4.88,9.59
900.00,1200.00,1344.00,8.73,weaving_midway_1,5.00,112,112,21.38,9.15
900.00,1200.00,1368.00,9.77,weaving_midway_2,5.00,114,115,19.61,10.27
900.00,1200.00,1200.00,16.44,weaving_midway_3,5.00,100,99,10.07,16.93
900.00,1200.00,1236.00,19.78,weaving_midway_4,5.00,103,103,8.68,19.85
900.00,1200.00,1008.00,10.32,weaving_upstream_0,5.00,84,87,13.90,10.67
900.00,1200.00,1080.00,10.58,weaving_upstream_1,5.00,90,90,14.18,10.98
900.00,1200.00,1164.00,15.10,weaving_upstream_2,5.00,97,98,10.73,15.59
900.00,1200.00,1092.00,17.47,weaving_upstream_3,5.00,91,95,8.98,17.77
900.00,1200.00,1104.00,19.68,weaving_upstream_4,5.00,92,92,7.79,19.89
1200.00,1500.00,1068.00,17.29,downstream_0,5.00,89,89,8.58,17.34
1200.00,1500.00,1176.00,17.77,downstream_1,5.00,98,98,9.19,17.85
1200.00,1500.00,1404.00,18.85,downstream_2,5.00,117,117,10.34,18.91
1200.00,1500.00,1320.00,20.32,downstream_3,5.00,110,110,9.02,20.39
1200.00,1500.00,672.00,17.81,upstream_0,5.00,56,56,5.24,17.85
1200.00,1500.00,1056.00,17.94,upstream_1,5.00,88,89,8.24,18.01
1200.00,1500.00,1164.00,18.36,upstream_2,5.00,97,98,8.85,18.55
1200.00,1500.00,1080.00,20.22,upstream_3,5.00,90,91,7.44,20.34
1200.00,1500.00,420.00,13.97,weaving_downstream_0,5.00,35,35,4.18,14.02
1200.00,1500.00,1236.00,15.41,weaving_downstream_1,5.00,103,105,11.24,15.97
1200.00,1500.00,1116.00,16.38,weaving_downstream_2,5.00,93,94,9.51,16.65
1200.00,1500.00,1344.00,18.54,weaving_downstream_3,5.00,112,113,10.10,18.63
1200.00,1500.00,1296.00,20.38,weaving_downstream_4,5.00,108,108,8.83,20.44
1200.00,1500.00,180.00,7.70,weaving_midway_0,5.00,15,20,3.78,9.36
1200.00,1500.00,1428.00,8.02,weaving_midway_1,5.00,119,122,25.35,8.48
1200.00,1500.00,1344.00,9.85,weaving_midway_2,5.00,112,113,18.98,10.16
1200.00,1500.00,1152.00,17.28,weaving_midway_3,5.00,96,96,9.26,17.72
1200.00,1500.00,1284.00,20.31,weaving_midway_4,5.00,107,107,8.78,20.38
1200.00,1500.00,972.00,10.67,weaving_upstream_0,5.00,81,83,12.79,10.98
1200.00,1500.00,1008.00,11.22,weaving_upstream_1,5.00,84,86,12.74,11.49
1200.00,1500.00,1236.00,15.44,weaving_upstream_2,5.00,103,104,11.17,15.71
1200.00,1500.00,1032.00,17.50,weaving_upstream_3,5.00,86,88,8.34,17.93
1200.00,1500.00,1164.00,20.13,weaving_upstream_4,5.00,97,97,8.03,20.23
1500.00,1800.00,1068.00,17.10,downstream_0,5.00,89,89,8.68,17.13
1500.00,1800.00,1152.00,17.61,downstream_1,5.00,96,96,9.09,17.65
1500.00,1800.00,1356.00,18.13,downstream_2,5.00,113,113,10.39,18.20
1500.00,1800.00,1380.00,19.85,downstream_3,5.00,115,115,9.66,19.89
1500.00,1800.00,768.00,18.00,upstream_0,5.00,64,64,5.93,18.04
1500.00,1800.00,1008.00,18.65,upstream_1,5.00,84,84,7.50,18.72
1500.00,1800.00,1164.00,19.20,upstream_2,5.00,97,96,8.37,19.26
1500.00,1800.00,1008.00,20.63,upstream_3,5.00,84,84,6.79,20.69
1500.00,1800.00,420.00,14.13,weaving_downstream_0,5.00,35,35,4.13,14.17
1500.00,1800.00,1284.00,15.77,weaving_downstream_1,5.00,107,107,11.37,15.99
1500.00,1800.00,996.00,16.94,weaving_downstream_2,5.00,83,84,8.18,17.02
1500.00,1800.00,1320.00,17.45,weaving_downstream_3,5.00,110,110,10.48,17.54
1500.00,1800.00,1356.00,19.53,weaving_downstream_4,5.00,113,114,9.66,19.61
1500.00,1800.00,360.00,6.38,weaving_midway_0,5.00,30,30,7.84,6.93
1500.00,1800.00,1284.00,6.98,weaving_midway_1,5.00,107,108,25.73,7.36
1500.00,1800.00,1308.00,8.71,weaving_midway_2,5.00,109,109,20.85,9.06
1500.00,1800.00,1224.00,14.19,weaving_midway_3,5.00,102,102,11.98,15.29
1500.00,1800.00,1284.00,19.54,weaving_midway_4,5.00,107,107,9.13,19.68
1500.00,1800.00,1056.00,10.84,weaving_upstream_0,5.00,88,89,13.64,11.10
1500.00,1800.00,1080.00,11.51,weaving_upstream_1,5.00,90,89,12.89,11.77
1500.00,1800.00,1188.00,16.23,weaving_upstream_2,5.00,99,100,10.23,16.45
1500.00,1800.00,972.00,17.98,weaving_upstream_3,5.00,81,84,7.61,18.11
1500.00,1800.00,1152.00,19.89,weaving_upstream_4,5.00,96,97,8.10,20.09
1800.00,2100.00,1044.00,17.19,downstream_0,5.00,87,87,8.43,17.24
1800.00,2100.00,1128.00,17.50,downstream_1,5.00,94,94,8.95,17.55
1800.00,2100.00,1548.00,17.77,downstream_2,5.00,129,129,12.10,17.84
1800.00,2100.00,1356.00,19.84,downstream_3,5.00,113,114,9.55,19.90
1800.00,2100.00,612.00,18.19,upstream_0,5.00,51,51,4.67,18.23
1800.00,2100.00,1068.00,18.13,upstream_1,5.00,89,89,8.18,18.18
1800.00,2100.00,1188.00,18.60,upstream_2,5.00,99,99,8.87,18.68
1800.00,2100.00,1152.00,20.33,upstream_3,5.00,96,96,7.87,20.41
1800.00,2100.00,408.00,14.23,weaving_downstream_0,5.00,34,34,3.98,14.32
1800.00,2100.00,1248.00,15.33,weaving_downstream_1,5.00,104,105,11.44,15.63
1800.00,2100.00,1032.00,16.75,weaving_downstream_2,5.00,86,85,8.55,16.81
1800.00,2100.00,1488.00,17.47,weaving_downstream_3,5.00,124,123,11.82,17.56
1800.00,2100.00,1368.00,19.82,weaving_downstream_4,5.00,114,114,9.58,19.89
1800.00,2100.00,204.00,7.97,weaving_midway_0,5.00,17,19,3.71,9.25
1800.00,2100.00,1416.00,8.59,weaving_midway_1,5.00,118,119,23.05,9.31
1800.00,2100.00,1320.00,10.13,weaving_midway_2,5.00,110,112,18.33,10.61
1800.00,2100.00,1260.00,16.12,weaving_midway_3,5.00,105,105,10.86,16.60
1800.00,2100.00,1272.00,20.26,weaving_midway_4,5.00,106,106,8.72,20.34
1800.00,2100.00,972.00,11.88,weaving_upstream_0,5.00,81,83,11.48,12.10
1800.00,2100.00,1032.00,12.01,weaving_upstream_1,5.00,86,87,11.96,12.35
1800.00,2100.00,1116.00,15.58,weaving_upstream_2,5.00,93,94,9.97,15.97
1800.00,2100.00,1116.00,17.86,weaving_upstream_3,5.00,93,94,8.73,18.12
1800.00,2100.00,1188.00,20.57,weaving_upstream_4,5.00,99,98,7.96,20.67
2100.00,2400.00,1008.00,17.03,downstream_0,5.00,84,84,8.22,17.07
2100.00,2400.00,1224.00,17.67,downstream_1,5.00,102,102,9.62,17.73
2100.00,2400.00,1404.00,18.26,downstream_2,5.00,117,117,10.68,18.33
2100.00,2400.00,1344.00,20.51,downstream_3,5.00,112,111,9.05,20.55
2100.00,2400.00,672.00,17.79,upstream_0,5.00,56,56,5.25,17.85
2100.00,2400.00,1008.00,17.93,upstream_1,5.00,84,84,7.81,18.03
2100.00,2400.00,1152.00,18.60,upstream_2,5.00,96,97,8.64,18.71
2100.00,2400.00,1092.00,20.20,upstream_3,5.00,91,91,7.51,20.31
2100.00,2400.00,408.00,14.16,weaving_downstream_0,5.00,34,34,4.00,14.22
2100.00,2400.00,1200.00,10.71,weaving_downstream_1,5.00,100,100,15.56,14.99
2100.00,2400.00,1116.00,11.07,weaving_downstream_2,5.00,93,95,14.28,15.27
2100.00,2400.00,1320.00,16.15,weaving_downstream_3,5.00,110,110,11.35,17.34
2100.00,2400.00,1344.00,20.38,weaving_downstream_4,5.00,112,111,9.15,20.44
2100.00,2400.00,156.00,10.95,weaving_midway_0,5.00,13,13,1.98,12.07
2100.00,2400.00,1608.00,12.50,weaving_midway_1,5.00,134,135,17.87,12.81
2100.00,2400.00,1128.00,13.91,weaving_midway_2,5.00,94,95,11.33,14.28
2100.00,2400.00,1200.00,17.91,weaving_midway_3,5.00,100,100,9.30,18.13
2100.00,2400.00,1272.00,20.54,weaving_midway_4,5.00,106,106,8.60,20.63
2100.00,2400.00,816.00,11.61,weaving_upstream_0,5.00,68,68,9.76,11.95
2100.00,2400.00,1212.00,13.14,weaving_upstream_1,5.00,101,102,12.97,13.36
2100.00,2400.00,1104.00,16.68,weaving_upstream_2,5.00,92,91,9.17,16.94
2100.00,2400.00,1080.00,17.99,weaving_upstream_3,5.00,90,90,8.34,18.24
2100.00,2400.00,1152.00,20.56,weaving_upstream_4,5.00,96,96,7.78,20.64
2400.00,2700.00,1068.00,17.39,downstream_0,5.00,89,89,8.53,17.44
2400.00,2700.00,1284.00,17.95,downstream_1,5.00,107,107,9.94,17.98
2400.00,2700.00,1308.00,18.70,downstream_2,5.00,109,109,9.72,18.73
2400.00,2700.00,1320.00,20.28,downstream_3,5.00,110,110,9.04,20.33
2400.00,2700.00,732.00,17.81,upstream_0,5.00,61,61,5.71,17.86
2400.00,2700.00,1020.00,18.43,upstream_1,5.00,85,85,7.69,18.51
2400.00,2700.00,1152.00,18.67,upstream_2,5.00,96,97,8.61,18.85
2400.00,2700.00,1104.00,19.66,upstream_3,5.00,92,92,7.80,19.91
2400.00,2700.00,420.00,13.99,weaving_downstream_0,5.00,35,36,4.19,14.01
2400.00,2700.00,1200.00,16.16,weaving_downstream_1,5.00,100,101,10.33,16.33
2400.00,2700.00,1224.00,16.98,weaving_downstream_2,5.00,102,102,10.01,17.07
2400.00,2700.00,1272.00,18.42,weaving_downstream_3,5.00,106,106,9.59,18.47
2400.00,2700.00,1272.00,20.39,weaving_downstream_4,5.00,106,106,8.66,20.45
2400.00,2700.00,288.00,10.10,weaving_midway_0,5.00,24,26,4.26,11.12
2400.00,2700.00,1440.00,10.36,weaving_midway_1,5.00,120,119,19.31,11.00
2400.00,2700.00,1308.00,10.87,weaving_midway_2,5.00,109,111,16.88,11.63
2400.00,2700.00,1152.00,17.50,weaving_midway_3,5.00,96,98,9.30,17.82
2400.00,2700.00,1224.00,20.52,weaving_midway_4,5.00,102,102,8.28,20.59
2400.00,2700.00,960.00,11.18,weaving_upstream_0,5.00,80,82,12.14,11.50
2400.00,2700.00,1128.00,11.49,weaving_upstream_1,5.00,94,94,13.64,12.02
2400.00,2700.00,1140.00,16.75,weaving_upstream_2,5.00,95,96,9.47,16.90
2400.00,2700.00,1092.00,17.61,weaving_upstream_3,5.00,91,92,8.62,18.01
2400.00,2700.00,1116.00,20.32,weaving_upstream_4,5.00,93,93,7.63,20.42
2700.00,3000.00,1032.00,16.94,downstream_0,5.00,86,86,8.46,16.99
2700.00,3000.00,1212.00,17.36,downstream_1,5.00,101,101,9.70,17.43
2700.00,3000.00,1284.00,18.27,downstream_2,5.00,107,107,9.76,18.35
2700.00,3000.00,1368.00,19.67,downstream_3,5.00,114,114,9.66,19.73
2700.00,3000.00,720.00,17.99,upstream_0,5.00,60,61,5.56,18.04
2700.00,3000.00,1008.00,17.97,upstream_1,5.00,84,84,7.79,18.13
2700.00,3000.00,1152.00,18.68,upstream_2,5.00,96,96,8.55,18.74
2700.00,3000.00,1044.00,19.93,upstream_3,5.00,87,87,7.27,20.08
2700.00,3000.00,444.00,13.02,weaving_downstream_0,5.00,37,36,4.71,13.28
2700.00,3000.00,1188.00,8.82,weaving_downstream_1,5.00,99,99,18.71,13.35
2700.00,3000.00,1248.00,13.36,weaving_downstream_2,5.00,104,105,13.01,14.76
2700.00,3000.00,1236.00,17.14,weaving_downstream_3,5.00,103,104,10.02,17.75
2700.00,3000.00,1356.00,19.33,weaving_downstream_4,5.00,113,113,9.75,19.51
2700.00,3000.00,264.00,8.81,weaving_midway_0,5.00,22,23,4.34,10.08
2700.00,3000.00,1440.00,10.39,weaving_midway_1,5.00,120,120,19.25,11.06
2700.00,3000.00,1260.00,11.12,weaving_midway_2,5.00,105,106,15.78,11.89
2700.00,3000.00,1212.00,16.97,weaving_midway_3,5.00,101,100,9.85,17.39
2700.00,3000.00,1260.00,19.66,weaving_midway_4,5.00,105,105,8.90,19.78
2700.00,3000.00,1020.00,10.78,weaving_upstream_0,5.00,85,86,13.27,11.05
2700.00,3000.00,1056.00,11.55,weaving_upstream_1,5.00,88,89,12.78,11.92
2700.00,3000.00,1104.00,16.04,weaving_upstream_2,5.00,92,93,9.61,16.42
2700.00,3000.00,1080.00,18.08,weaving_upstream_3,5.00,90,91,8.37,18.19
2700.00,3000.00,1152.00,20.13,weaving_upstream_4,5.00,96,96,7.95,20.19
